Parameter Name,Group,Material,Lab min Value,Client min Value,Parameter Test Method,Pseudo Parameter,Discipline,Mu Value,Lab max Value,Client max Value,Unit,NABL,Material Table,Inputs,Material/Lab Name,Remark 
Dimension,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,80.00,0.00,IS 2185 (Part-3):1984,TRUE,MECHANICAL,0.00,750.00,0.00,mm,NABL,"lerm.parameter.master.table,3139",,AAC BLOCK,"In the AAC final report, Conformity is showing as Fail, and one extra column is also appearing."
Moisture Content (Avg.),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,0.10,0.00,IS 6441 (Part1) 1972,FALSE,MECHANICAL,0.03,50.00,0.00,%,NABL,"lerm.parameter.master.table,3141",,AAC BLOCK,
Block Density,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,300.00,0.00,IS 6441 (Part1) 1972,FALSE,MECHANICAL,0.14,"1,200.00",0.00,kg/m3,NABL,"lerm.parameter.master.table,3143",,AAC BLOCK,
Drying Shrinkage,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,0.00,0.00,IS 6441 (Part1) 1972,FALSE,MECHANICAL,0.00,0.20,0.00,%,NABL,"lerm.parameter.master.table,3144",,AAC BLOCK,
Compressive Strength,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,0.50,0.00,IS 6441 (Part 5) 1972,FALSE,MECHANICAL,0.01,10.00,0.00,N/mm2,NABL,"lerm.parameter.master.table,3145",,AAC BLOCK,
Length (Avg.),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,500.00,0.00,IS 2185 (Part-3):1984,FALSE,MECHANICAL,0.21,750.00,0.00,mm,NABL,"lerm.parameter.master.table,3152",,AAC BLOCK,
Width (Avg.),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,80.00,0.00,IS 2185 (Part-3):1984,FALSE,MECHANICAL,0.00,350.00,0.00,mm,NABL,"lerm.parameter.master.table,3154",,AAC BLOCK,
Height (Avg.),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,80.00,0.00,IS 2185 (Part-3):1984,FALSE,MECHANICAL,0.00,"1,000.00",0.00,mm,NABL,"lerm.parameter.master.table,3156",,AAC BLOCK,
WATER ABSORPTION,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,AAC Block,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,Non NABL,,,AAC BLOCK,
Ash Content,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.10,0.00,--,FALSE,CHEMICAL,0.00,50.00,0.00,% by mass,NABL,"lerm.parameter.master.table,528",Weight of crucible and lid ( W1),ADMIXTURE CHEMICAL,
Dry Material Content,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),1.00,0.00,--,FALSE,CHEMICAL,0.01,70.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1227",A) Weight of bottle + sand ( W1) gm,ADMIXTURE CHEMICAL,
pH,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),1.00,0.00,IS 9103 - 1999,FALSE,CHEMICAL,0.00,14.00,0.00,--,NABL,"lerm.parameter.master.table,529",PH,ADMIXTURE CHEMICAL,
Relative Density,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.90,0.00,--,FALSE,CHEMICAL,0.00,1.50,0.00,% by mass,NABL,"lerm.parameter.master.table,530",RD,ADMIXTURE CHEMICAL,
Compressive Strength,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,,10.00,0.00,IS 4031(Part-6)1988,FALSE,MECHANICAL,0.11,80.00,0.00,,NABL,,,,
Chloride Content,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,--,FALSE,CHEMICAL,0.01,1.00,0.00,% by mass,NABL,"lerm.parameter.master.table,531","Mass of the Admixture in  , ( gm)",ADMIXTURE CHEMICAL,
Chloride,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,--,FALSE,CHEMICAL,0.01,1.00,0.00,% by mass,NABL,"lerm.parameter.master.table,532",A)Mass of Admixture,ADMIXTURE CHEMICAL,
Sulphate as SO₃,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,--,FALSE,CHEMICAL,0.00,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,533",A)Mass of the Admixture in gm,ADMIXTURE CHEMICAL,
Alkali as Na₂O,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,--,FALSE,CHEMICAL,0.00,2.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,534",A)Weight of sample taken,ADMIXTURE CHEMICAL,
Alkali as K2O,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,--,FALSE,CHEMICAL,0.00,2.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,535",A)Weight of sample taken,ADMIXTURE CHEMICAL,
Appearance,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,--,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,536",Appearance,ADMIXTURE CHEMICAL,
Alkali content as Na2O,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,Non NABL,"lerm.parameter.master.table,3305",Alkali as Na₂O,ADMIXTURE CHEMICAL,
Silica,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,Non NABL,,,ADMIXTURE CHEMICAL,
Moisture Content,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,Non NABL,,,ADMIXTURE CHEMICAL,
Viscosity,BUILDING MATERIALS - CHEMICAL,Admixture (Chemical Properties),0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,sec,Non NABL,"lerm.parameter.master.table,4837",,ADMIXTURE CHEMICAL,
Admixture,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Admixture (Mechanical Properties),0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,,,ADMIXTURE MECHANICAL,
Chloride Cl,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),0.00,0.00,BS EN 1744-1: 2012,FALSE,CHEMICAL,0.15,1.00,0.00,% by mass,NABL,"lerm.parameter.master.table,775",,COARSE AGGREGATE,
Sulphate as SO3,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),0.00,0.00,BS:EN 1744-1 : 2009,FALSE,CHEMICAL,0.17,1.00,0.00,% by mass,NABL,"lerm.parameter.master.table,776",,COARSE AGGREGATE,
Alkali Aggregate Reactivity - Reduction in Alkalinity,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),1.00,0.00,IS 2386 (Part 7): 1963,FALSE,CHEMICAL,0.01,700.00,0.00,% by mass,NABL,"lerm.parameter.master.table,777",,COARSE AGGREGATE,
Alkali Aggregate Reactivity - Dissolved Silica,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),1.00,0.00,IS2386 (Part 7): 1963,FALSE,CHEMICAL,0.04,"2,500.00",0.00,% by mass,NABL,"lerm.parameter.master.table,778",,COARSE AGGREGATE,
pH at 25°C,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),1.00,0.00,KES/SOP/CHEM/039: 2018,FALSE,CHEMICAL,0.00,14.00,0.00,,NABL,"lerm.parameter.master.table,779",,COARSE AGGREGATE,
Alkali Content Na2O,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),0.00,0.00,--,FALSE,CHEMICAL,0.00,0.00,0.00,,Non NABL,"lerm.parameter.master.table,780",Wt of sample,COARSE AGGREGATE,
Alkali Content K2O,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),0.00,0.00,--,FALSE,CHEMICAL,0.00,0.00,0.00,,Non NABL,"lerm.parameter.master.table,781",Wt of Sample,COARSE AGGREGATE,
Nature of Aggregate,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,NABL,"lerm.parameter.master.table,782",Nature of Aggregate,COARSE AGGREGATE,
Total Alkali Content as Na2O Equivalent,BUILDING MATERIALS - CHEMICAL,Aggregate - Coarse (Chemical),0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,783",Na2O,COARSE AGGREGATE,
Deleterious Content - Clay Lumps,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.01,0.00,IS 2386 (Part-2) :1963 RA 2021,FALSE,MECHANICAL,0.00,20.00,0.00,%,NABL,"lerm.parameter.master.table,667",,COARSE  AGGREGATE- MECHANICAL,
Deleterious Material - Lightweight Pieces (Coal & Lignite),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.01,0.00,IS 2386 (Part-2) :1963 RA 2021,FALSE,MECHANICAL,0.00,20.00,0.00,%,NABL,"lerm.parameter.master.table,3053",,COARSE  AGGREGATE- MECHANICAL,
Soundness - MgSO4,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.01,0.00,IS 2386 (Part-5) :1963 RA 2021,FALSE,MECHANICAL,0.01,20.00,0.00,%,NABL,"lerm.parameter.master.table,3054",,COARSE  AGGREGATE- MECHANICAL,
Los Angeles Abrasion Value,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),5.00,0.00,IS 2386 (Part-4) :1963 RA 2021,FALSE,MECHANICAL,0.02,50.00,0.00,%,NABL,"lerm.parameter.master.table,3055",,COARSE  AGGREGATE- MECHANICAL,
"All-in-Aggregate Grading (Size,80 mm,40 mm,20 mm,4.75 mm,600 µm,150 µm )",BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.08,0.00,IS 2386 (Part-1) :1963 RA 2021,FALSE,MECHANICAL,0.03,100.00,0.00,%,NABL,"lerm.parameter.master.table,3056",,COARSE  AGGREGATE- MECHANICAL,
Loose Bulk Density (LBD),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),1.20,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.00,3.00,0.00,Kg/l,NABL,"lerm.parameter.master.table,3057",,COARSE  AGGREGATE- MECHANICAL,
Crushing Value,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),1.00,0.00,IS 2386 (Part-4) :1963 RA 2021,FALSE,MECHANICAL,0.02,60.00,0.00,%,NABL,"lerm.parameter.master.table,3058",,COARSE  AGGREGATE- MECHANICAL,
Deleterious content (Material finer than 75 micron),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.01,0.00,IS 2386 (Part-1) :1963 RA 2021,FALSE,MECHANICAL,0.00,35.00,0.00,%,NABL,"lerm.parameter.master.table,3059",,COARSE  AGGREGATE- MECHANICAL,
Elongation Index,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),5.00,0.00,IS 2386 (Part-1) :1963 RA 2021,FALSE,MECHANICAL,0.02,50.00,0.00,%,NABL,"lerm.parameter.master.table,3060",,COARSE  AGGREGATE- MECHANICAL,
Flakiness Index,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),5.00,0.00,IS 2386 (Part-1) :1963 RA 2021,FALSE,MECHANICAL,0.02,50.00,0.00,%,NABL,"lerm.parameter.master.table,3061",,COARSE  AGGREGATE- MECHANICAL,
Impact value,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),5.00,0.00,IS 2386 (Part-4) :1963 RA 2021,FALSE,MECHANICAL,0.02,50.00,0.00,%,NABL,"lerm.parameter.master.table,3062",,COARSE  AGGREGATE- MECHANICAL,
"Sieve Analysis (size 63mm, 40mm, 20mm, 16mm, 12.5mm, 10mm, 4.75mm, 2.36mm)",BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.10,0.00,,FALSE,MECHANICAL,0.03,100.00,0.00,%,NABL,"lerm.parameter.master.table,3063",False,COARSE  AGGREGATE- MECHANICAL,
Soundness - Na2SO4,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.01,0.00,IS 2386 (Part-5) :1963 RA 2021,FALSE,MECHANICAL,0.01,20.00,0.00,%,NABL,"lerm.parameter.master.table,3064",,COARSE  AGGREGATE- MECHANICAL,
Water Absorption,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.10,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.00,15.00,0.00,%,NABL,"lerm.parameter.master.table,3065",,COARSE  AGGREGATE- MECHANICAL,
10 % Fine Value,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),20.00,0.00,IS 2386 (Part-4) :1963 RA 2021,FALSE,MECHANICAL,0.12,500.00,0.00,KN,NABL,"lerm.parameter.master.table,3066",,COARSE  AGGREGATE- MECHANICAL,
Specific Gravity,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),2.20,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.01,3.30,0.00,--,NABL,"lerm.parameter.master.table,3067",,COARSE  AGGREGATE- MECHANICAL,
Rodded Bulk Density (RBD),BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),1.20,0.00,IS 2386 (Part-3) :1963 RA 2021,FALSE,MECHANICAL,0.00,3.00,0.00,Kg/l,NABL,"lerm.parameter.master.table,3068",,COARSE  AGGREGATE- MECHANICAL,
Angularity Number,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),1.00,0.00,IS 2386 (Part-1) :1963 RA 2021,FALSE,MECHANICAL,0.02,15.00,0.00,%,NABL,"lerm.parameter.master.table,3069",,COARSE  AGGREGATE- MECHANICAL,
Moisture Content,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,Aggregate - Coarse (Mechanical),0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,,,,COARSE  AGGREGATE- MECHANICAL,
pH at 25 ͦ C,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,1.00,0.00,KES/SOP/CHEM/039: 2018,FALSE,CHEMICAL,0.00,14.00,0.00,--,NABL,"lerm.parameter.master.table,1274",PH,AGGREGATE COARSE- CHEMICAL,
Chloride,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,0.00,0.00,BS EN 1744-1: 2012,FALSE,CHEMICAL,0.15,"10,000.00",0.00,% by mass,NABL,"lerm.parameter.master.table,1104",,AGGREGATE COARSE- CHEMICAL,
Sulphate,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,0.00,0.00,BS EN 1744-1: 2012,FALSE,CHEMICAL,0.17,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,1105",,AGGREGATE COARSE- CHEMICAL,
Alkali Aggregate Reactivity - Reduction in Alkalinity,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,1.00,0.00,IS 2386 (Part 7): 1963,FALSE,CHEMICAL,0.01,700.00,0.00,millimoles/litre,NABL,"lerm.parameter.master.table,1271",,AGGREGATE COARSE- CHEMICAL,
Alkali Aggregate Reactivity-Dissolved Silica,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,1.00,0.00,IS2386 (Part 7): 1963,FALSE,CHEMICAL,0.04,"2,500.00",0.00,millimoles/litre,NABL,"lerm.parameter.master.table,1272",,AGGREGATE COARSE- CHEMICAL,
Na2O,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,0.01,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,2950",,AGGREGATE COARSE- CHEMICAL,
K2O,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,0.00,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,2951",,AGGREGATE COARSE- CHEMICAL,
Total alkali content as Na2O,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,0.01,0.00,IS 4032:1985,FALSE,CHEMICAL,0.00,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,2952",,AGGREGATE COARSE- CHEMICAL,
Nature of Aggregates,BUILDING MATERIALS - CHEMICAL,AGGREGATE COARSE- CHEMICAL,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,--,NABL,"lerm.parameter.master.table,3312",,AGGREGATE COARSE- CHEMICAL,
Dry Loose Bulk Density,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,ALCOFINE,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,Non NABL,,,Alcofine,
Specific Gravity,BUILDING INFRASTRUCTURE AND CONSTRUCTION MATERIAL,ALCOFINE,0.00,0.00,,FALSE,MECHANICAL,0.00,0.00,0.00,,Non NABL,,,Alcofine,
Carbon,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.00,0.00,,,,,AUSTENITIC & FERRITIC STAINLESS STEEL,
Carbon,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.01,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,0.25,0.00,% by mass,NABL,"lerm.parameter.master.table,4250",Carbon,AUSTENITIC & FERRITIC STAINLESS STEEL,
Manganese,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.01,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,2.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4257",Manganese,AUSTENITIC & FERRITIC STAINLESS STEEL,
Manganese,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.00,0.00,,,,,AUSTENITIC & FERRITIC STAINLESS STEEL,
Silicon,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.02,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,0.90,0.00,% by mass,NABL,"lerm.parameter.master.table,4264",Silicon,AUSTENITIC & FERRITIC STAINLESS STEEL,
Silicon,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.00,0.00,,,,,AUSTENITIC & FERRITIC STAINLESS STEEL,
Sulphur,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,0.07,0.00,% by mass,NABL,"lerm.parameter.master.table,4271",Sulphur,AUSTENITIC & FERRITIC STAINLESS STEEL,
Sulphur,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.00,0.00,,,,,AUSTENITIC & FERRITIC STAINLESS STEEL,
Phosphorous,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.01,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,0.10,0.00,% by mass,NABL,"lerm.parameter.master.table,4278",Phosphorous,AUSTENITIC & FERRITIC STAINLESS STEEL,
Phosphorous,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.00,0.00,,,,,AUSTENITIC & FERRITIC STAINLESS STEEL,
Chromium,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,16.00,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,23.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4697",Chromium,AUSTENITIC & FERRITIC STAINLESS STEEL,
Chromium,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4698",Chromium,AUSTENITIC & FERRITIC STAINLESS STEEL,
Chromium,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,5.00,0.00,JIS G-1253-2002,FALSE,CHEMICAL,0.00,26.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4285",Chromium,AUSTENITIC & FERRITIC STAINLESS STEEL,
Nickel,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,7.50,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,13.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4292",Nickel,AUSTENITIC & FERRITIC STAINLESS STEEL,
Nickel,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4699",Nickel,AUSTENITIC & FERRITIC STAINLESS STEEL,
Nickel,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.05,0.00,JIS G-1253-2002,FALSE,CHEMICAL,0.00,22.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4299",Nickel,AUSTENITIC & FERRITIC STAINLESS STEEL,
Molybdenum,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.01,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,3.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4306",Molybdenum,AUSTENITIC & FERRITIC STAINLESS STEEL,
Molybdenum,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.00,0.00,,,,,AUSTENITIC & FERRITIC STAINLESS STEEL,
Copper,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,ASTM E1086-22,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4695",Copper,AUSTENITIC & FERRITIC STAINLESS STEEL,
Copper,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.05,0.00,IS 9879: 1998,FALSE,CHEMICAL,0.00,0.50,0.00,% by mass,NABL,"lerm.parameter.master.table,4694",Copper,AUSTENITIC & FERRITIC STAINLESS STEEL,
Titanium,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,JIS G-1253-2002,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,4696",Titanium,AUSTENITIC & FERRITIC STAINLESS STEEL,
Nitrogen,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,JIS G-1253-2002,FALSE,CHEMICAL,0.00,0.15,0.00,% by mass,NABL,"lerm.parameter.master.table,4345",Nirogen,AUSTENITIC & FERRITIC STAINLESS STEEL,
Nirogen,METALS & ALLOYS,AUSTENITIC & FERRITIC STAINLESS STEEL CHEMICAL,0.00,0.00,KES/SOP/CHEM/063,FALSE,CHEMICAL,0.00,0.00,0.00,,,,,AUSTENITIC & FERRITIC STAINLESS STEEL,
Mass of Zinc Coating,METALS & ALLOYS,Binding Wire - Mass of Zinc Coating,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,668",Weight of sample before Stripping,ZINC COATED STEEL,
Adhesion Test,METALS & ALLOYS,Binding Wire - Mass of Zinc Coating,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,670",Remove  a portion of Coating on Test Speciman,ZINC COATED STEEL,
Uniformity of Zinc Coated material,METALS & ALLOYS,Binding Wire - Mass of Zinc Coating,0.00,0.00,,FALSE,CHEMICAL,0.00,0.00,0.00,,,"lerm.parameter.master.table,671",Deposited  Cu  on Test Speciman,ZINC COATED STEEL,
Carbon,METALS & ALLOYS,Binding Wire (Chemical),0.00,0.00,IS 228 (Part 1):1987,FALSE,CHEMICAL,0.00,"9,999.00",0.00,% by mass,,"lerm.parameter.master.table,804",Wt of Sample taken (gm),GI WIRE,
Manganese,METALS & ALLOYS,Binding Wire (Chemical),0.00,0.00,IS 228 (Part 2):1987,FALSE,CHEMICAL,0.00,"9,999.00",0.00,% by mass,,"lerm.parameter.master.table,829",Wt of Sample taken  gm,GI WIRE,
Alkalis as  Na2O (depend),BUILDING MATERIALS - CHEMICAL,,0.01,0.00,--,FALSE,CHEMICAL,0.03,5.00,0.00,% by mass,NABL,"lerm.parameter.master.table,2077",Weight of sample taken,,
Phosphorous,METALS & ALLOYS,Binding Wire (Chemical),0.00,0.00,IS 228 (Part 1):1987,FALSE,CHEMICAL,0.00,0.00,0.00,% by mass,NABL,"lerm.parameter.master.table,844",Wt of Sample taken (gm),GI WIRE,
Alkalis as K2O (depend),BUILDING MATERIALS - CHEMICAL,,0.01,0.00,--,FALSE,CHEMICAL,0.03,5.00,0.00,% by mass,NABL,"lerm.parameter.master.table,2078",Weight of sample taken,,
Sulphur,METALS & ALLOYS,Binding Wire (Chemical),0.00,0.00,IS 228 (Part 9)1989,FALSE,CHEMICAL,0.00,999.00,0.00,% by mass,,"lerm.parameter.master.table,859","volume, in ml, of potassium iodate  added",GI WIRE,
pH,BUILDING MATERIALS - CHEMICAL,Bipolar Test,1.00,0.00,RDSO SPECIFICATION NO. M&C/PCN/126/2020: 2020,FALSE,CHEMICAL,0.00,14.00,0.00,--,NABL,"lerm.parameter.master.table,537",PH,BIPOLAR CONCRETE PENETRATING CORROSION INHIBITING ADMIXTURE,
Odour,BUILDING MATERIALS - CHEMICAL,Bipolar Test,0.00,0.00,RDSO SPECIFICATION NO. M&C/PCN/126/2020: 2020,FALSE,CHEMICAL,0.00,0.00,0.00,--,NABL,"lerm.parameter.master.table,539",Odour,BIPOLAR CONCRETE PENETRATING CORROSION INHIBITING ADMIXTURE,
Skin Irritation,BUILDING MATERIALS - CHEMICAL,Bipolar Test,0.00,0.00,RDSO SPECIFICATION NO. M&C/PCN/126/2020: 2020,FALSE,CHEMICAL,0.00,0.00,0.00,--,NABL,"lerm.parameter.master.table,540",Skin Irritation,BIPOLAR CONCRETE PENETRATING CORROSION INHIBITING ADMIXTURE,
